video,face_encoding
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1119706949586170,"[-0.08109803  0.04416644  0.06592293  0.03155834 -0.1035414  -0.01599958
 -0.02688368 -0.12118498  0.0755727  -0.01823002  0.15849203 -0.11093093
 -0.25511762 -0.02975272 -0.05185507  0.08231687 -0.13913782 -0.06181275
 -0.09808697 -0.13851281 -0.05742959  0.09904692  0.04263755 -0.00304248
 -0.08380555 -0.33262962 -0.0152079  -0.11670495  0.0120389  -0.08808658
 -0.00109424  0.07025409 -0.21380344 -0.05969765 -0.0330702   0.07477836
 -0.08783565 -0.04138668  0.15465178 -0.038653   -0.14774358  0.09075094
  0.02248236  0.22825272  0.17891623 -0.00519119 -0.00565063 -0.05550738
  0.10331194 -0.233328    0.05991337  0.16858789  0.15324585  0.0307816
  0.04208202 -0.07966072 -0.05794779  0.13609447 -0.15559641  0.13210474
  0.06841708 -0.01930819  0.04949899 -0.0261006   0.17241873  0.09298822
 -0.090065   -0.11664451  0.13703321 -0.16092677 -0.08270128  0.10349017
 -0.08072884 -0.19699076 -0.28940564  0.10136954  0.41634563  0.08625831
 -0.15924361 -0.02897022 -0.1033195  -0.06619275  0.02378045  0.09651572
 -0.04366022 -0.07783058 -0.095893    0.05828086  0.19412225 -0.01600789
 -0.12702073  0.21890241  0.00688374  0.03252244 -0.01815239  0.08017613
 -0.11541215  0.00990922 -0.06350981 -0.02959052  0.08389395 -0.06346978
  0.0079828   0.15294647 -0.09623459  0.21544027 -0.05465734  0.02109646
  0.05648993  0.0293111   0.0063314   0.00663378  0.16568494 -0.25831693
  0.2195736   0.11183611  0.01179067  0.11916793 -0.01751384  0.03808713
  0.02155986  0.01106835 -0.18910064 -0.12226307  0.00872162 -0.00138676
  0.03150013  0.10650136]"
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1698824364241828,"[-0.11149903  0.03538315  0.08072977 -0.11952944 -0.21069753  0.07574209
 -0.09069645 -0.04804187  0.19356172 -0.23600426  0.0666258  -0.00170056
 -0.1089539   0.0290742  -0.0523509   0.14133425 -0.12126288 -0.22069387
  0.01454895 -0.06809395 -0.05174129  0.01488296 -0.02225638  0.07609984
 -0.15282826 -0.29849607 -0.04631285 -0.00511758  0.03259822 -0.12039978
 -0.06390937  0.05296681 -0.25693145 -0.01553487 -0.00521018  0.19385543
 -0.03086335 -0.04451744  0.09445563 -0.03536351 -0.23037906 -0.03833938
  0.09921778  0.25050172  0.25344062  0.00158776 -0.06804457 -0.06450934
  0.1227259  -0.31423154  0.04059054  0.10623573  0.02087434  0.06260802
  0.02256066 -0.09658535  0.05416584  0.10301878 -0.10048098  0.02890176
  0.02385647 -0.05176994  0.01918424 -0.02369211  0.2665638   0.10531329
 -0.04688184 -0.19625916  0.19245963 -0.21080704 -0.0547747   0.05868684
 -0.03834431 -0.13893937 -0.23040248 -0.00378616  0.37437657  0.20898646
 -0.12228353  0.12589364 -0.06580438 -0.02360183  0.04808835  0.111277
 -0.01725662  0.01065064 -0.05290428  0.08259732  0.26880667 -0.00743404
  0.0222815   0.16682997  0.05127456  0.00431348  0.06336502  0.07922945
 -0.12288513  0.05284898 -0.22963123 -0.05005375  0.01830025  0.01134129
  0.03166537  0.20514618 -0.22170226  0.22926608 -0.04269138 -0.05593951
  0.04085507  0.04725482 -0.04633567 -0.07931109  0.12790066 -0.23470102
  0.1337986   0.16515644  0.02809647  0.17499349  0.08781711  0.0835669
  0.07561559 -0.02186857 -0.12370077 -0.04790535  0.00478176 -0.12413606
  0.02975827  0.09014145]"
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-426644026275739,"[-0.13979146  0.03460958 -0.04491746 -0.0578707  -0.06878898  0.0652469
 -0.00834334 -0.06699238  0.27943283 -0.16402848  0.18736026 -0.07394422
 -0.18215871  0.00672342 -0.04669689  0.13623804 -0.12987292 -0.16844568
  0.02507815 -0.01406315  0.02038962 -0.0119676  -0.04145902  0.12642036
 -0.19593371 -0.34961864 -0.08197689 -0.10771043 -0.00039884 -0.13339438
 -0.00653614  0.06971667 -0.2210533  -0.01260708  0.00370791  0.16864467
 -0.0017529  -0.11489414  0.26222867  0.06869024 -0.20830218 -0.05955756
  0.0546491   0.30456692  0.13931772 -0.01746035 -0.04515967 -0.05985832
  0.16701534 -0.22766966  0.00554693  0.12629405  0.04563314  0.05910967
  0.02399628 -0.15050283  0.03838839  0.103514   -0.23434171  0.02628582
  0.00538409 -0.05853488  0.00089563 -0.03853171  0.28881168  0.10555453
 -0.11355025 -0.08972187  0.23422697 -0.13447778  0.0172395   0.06954443
 -0.09218722 -0.25765216 -0.229184    0.07960831  0.39499369  0.16747987
 -0.12336422  0.11254341 -0.04574867 -0.07302549  0.06316598  0.16535527
  0.01655114  0.02518684 -0.0363927   0.04537006  0.24507402  0.06075536
 -0.01472333  0.19315119 -0.0559723  -0.01637345  0.04873053  0.06687701
 -0.14338595  0.00255063 -0.14900181 -0.02870659  0.03223861 -0.04170103
  0.01703084  0.14449483 -0.2408573   0.13979137  0.00647927 -0.10089958
  0.0017178   0.0207153  -0.09462701 -0.01001616  0.13965566 -0.32972333
  0.17048119  0.07510245  0.02565419  0.224797    0.06912908  0.08106694
  0.040146   -0.02587689 -0.18794219 -0.07748955  0.03429926 -0.00522446
  0.09270898  0.01386302]"
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-427878012859864,"[-1.49954021e-01  3.50314341e-02 -2.71991193e-02 -6.92421272e-02
 -8.82456899e-02  6.58777803e-02 -1.32505652e-02 -6.46119416e-02
  2.74564445e-01 -1.64330930e-01  1.69563636e-01 -7.93430880e-02
 -1.88804999e-01  4.24647257e-02 -6.20124824e-02  1.46815330e-01
 -1.09237567e-01 -1.53633773e-01  8.73770565e-03 -7.94992689e-03
  3.26245874e-02  2.94188154e-04 -3.56949344e-02  1.25588253e-01
 -1.69356957e-01 -3.50150913e-01 -8.36296901e-02 -1.04078516e-01
 -1.91492662e-02 -1.32759601e-01 -9.24899802e-03  5.12937717e-02
 -2.08523259e-01 -1.81282051e-02  2.56514456e-03  1.71116889e-01
 -5.11455908e-03 -1.19643793e-01  2.69529134e-01  7.45364502e-02
 -2.15272292e-01 -4.63251844e-02  5.41777574e-02  3.05369437e-01
  1.39976248e-01 -5.91355376e-03 -3.93858403e-02 -6.67222962e-02
  1.81826323e-01 -2.35600010e-01  5.04988618e-03  1.00425370e-01
  5.28697595e-02  4.98968251e-02  4.10234183e-02 -1.50302306e-01
  4.46444638e-02  1.11148983e-01 -2.37196118e-01  4.14447486e-02
  1.32551529e-02 -8.11130479e-02  1.70149747e-03 -5.01137227e-02
  3.01710188e-01  1.09366603e-01 -1.14460699e-01 -8.63764212e-02
  2.32252881e-01 -1.20266594e-01  1.28399041e-02  6.59235865e-02
 -9.36518013e-02 -2.51972556e-01 -2.30940372e-01  8.19419548e-02
  4.20066774e-01  1.83098286e-01 -1.45643041e-01  1.02824546e-01
 -4.70545068e-02 -5.34268878e-02  7.85893574e-02  1.75484762e-01
  2.80540362e-02  2.86868829e-02 -4.51555103e-02  3.22895311e-02
  2.38231525e-01  4.07100171e-02 -2.61227749e-02  1.99309453e-01
 -4.45600972e-02  1.60503946e-03  4.16923054e-02  6.28294349e-02
 -1.61895245e-01 -4.02660109e-03 -1.61161184e-01 -4.19511087e-02
  3.36071439e-02 -2.22304016e-02  3.10832188e-02  1.36563063e-01
 -2.28544712e-01  1.33240134e-01 -9.91378166e-03 -1.01400152e-01
 -1.07802302e-02  2.41132118e-02 -9.68794972e-02 -7.04685319e-03
  1.38948604e-01 -3.23433161e-01  1.57526255e-01  7.33347535e-02
  7.36893713e-03  2.25998104e-01  8.11559260e-02  8.43362659e-02
  4.92737070e-02 -9.55208298e-03 -1.84574917e-01 -7.93662518e-02
  5.17312177e-02  1.97040886e-02  1.12726919e-01  2.40641646e-02]"
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-429145826826558,"[-1.69593200e-01  1.42395422e-01  3.44233699e-02 -1.08752623e-01
 -9.28103626e-02  5.47812954e-02  4.20916788e-02 -4.14492935e-02
  1.14773668e-01  1.42264720e-02  2.35506460e-01 -6.62468523e-02
 -3.25167149e-01 -2.41762437e-02 -4.96476404e-02  9.70755368e-02
 -2.02910796e-01 -9.78290886e-02 -1.30551606e-01 -5.72851077e-02
  4.51083221e-02  2.17582975e-02 -3.37605961e-02  6.75459802e-02
 -1.33663058e-01 -2.72475153e-01  5.78226484e-02 -6.69884756e-02
  6.94328174e-02 -1.52942181e-01 -4.71611135e-02  1.44458842e-02
 -2.25074440e-01 -6.83876276e-02 -1.75093804e-02  1.35288954e-01
 -3.52053046e-02 -8.53111446e-02  1.88311368e-01 -1.60935782e-02
 -1.77527621e-01  5.02817295e-02  3.38417068e-02  2.68601179e-01
  1.68176755e-01 -1.21683376e-02  4.19083610e-02 -7.50210211e-02
  1.36521220e-01 -2.96748996e-01  3.05665843e-02  1.58462524e-01
  1.72213763e-01  1.01977633e-02 -1.34370960e-02 -2.23782241e-01
 -4.05088812e-02  1.81372270e-01 -1.70027718e-01  1.47116199e-01
  9.05326009e-02 -1.40666053e-01  3.42366546e-02 -5.71410730e-02
  1.72025770e-01  5.83279952e-02 -1.22963190e-01 -9.88689512e-02
  1.57364637e-01 -5.46097197e-02 -1.56484116e-02  8.61683190e-02
 -6.81942999e-02 -2.08302855e-01 -2.23889679e-01  1.08547546e-01
  3.92634928e-01  1.32466674e-01 -1.69557154e-01  2.12146491e-02
 -1.63067073e-01 -8.92663375e-05  4.24438529e-02  5.80765866e-02
 -1.01627007e-01 -1.62300263e-02 -1.53809145e-01  1.09481581e-01
  2.43308365e-01 -7.66760670e-03 -2.81705689e-02  1.98651254e-01
  2.92566344e-02 -2.66330037e-03  1.08372197e-02  5.12980558e-02
 -1.44139886e-01  2.54615955e-02 -7.54669756e-02  1.46700516e-02
  5.72530888e-02 -1.73324063e-01  4.49516848e-02  9.39161479e-02
 -1.81674331e-01  1.11610711e-01 -1.29914116e-02 -5.30947978e-03
  5.33616077e-03 -5.10745086e-02 -1.96844004e-02  3.16333026e-02
  1.68602765e-01 -2.84322739e-01  2.51562804e-01  1.90039501e-01
  6.11873530e-02  1.59430325e-01  1.10525027e-01  1.67677514e-02
  9.17561427e-02 -1.16347950e-02 -1.31075397e-01 -8.41241181e-02
  8.16310719e-02 -1.47747435e-02  1.43298358e-01  5.57248890e-02]"
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-604041931565137,"[-0.06719058 -0.0020833   0.02350654 -0.04423858 -0.13126507 -0.04799644
 -0.00050394 -0.08847789  0.1640716  -0.19708245  0.16849098 -0.0690927
 -0.19827799 -0.00569046 -0.03289045  0.18125616 -0.1029539  -0.16604064
 -0.04033283 -0.01254967  0.04474499  0.08572336 -0.05875312  0.07128852
 -0.16115139 -0.28808767 -0.06503115 -0.05806324 -0.03530128 -0.03081855
  0.02385398  0.19748148 -0.16812618  0.00430445  0.02118728  0.12729946
 -0.00866975 -0.07495674  0.19570592  0.01657577 -0.27226371  0.0574331
  0.08236845  0.22034223  0.10336324 -0.06247274  0.02523933 -0.09155624
  0.07582287 -0.19607955 -0.04460759  0.10475165  0.17580023  0.01589169
  0.04639514 -0.13342305  0.02765247  0.09751327 -0.22417215  0.01356846
  0.01077643 -0.03743966  0.00698133 -0.0590463   0.16211672  0.05290436
 -0.08882719 -0.07201894  0.219166   -0.18410057 -0.08692541  0.10450255
 -0.09739526 -0.19847825 -0.27233699 -0.02524717  0.34743541  0.10850024
 -0.15358892  0.07960318  0.0204716  -0.04046419  0.0209879   0.08308763
 -0.05669763 -0.03453775 -0.04044226  0.05199083  0.26338676  0.00651543
 -0.00372354  0.18988168  0.05522423 -0.04639403  0.01332773  0.01943952
 -0.01878628 -0.03080103 -0.10183164  0.00758307  0.01390084 -0.12419277
 -0.02863515  0.14877523 -0.23895867  0.13272481 -0.02531438 -0.0863694
  0.0150073   0.11827578 -0.09616102 -0.01254901  0.13745663 -0.22076012
  0.1267278   0.1377288  -0.02892537  0.12202678  0.03937495  0.07918986
 -0.03925411 -0.06175485 -0.19747524 -0.14235529  0.10370491 -0.0551998
  0.08123374  0.04605942]"
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6046690562050296,"[-0.13979146  0.03460958 -0.04491746 -0.0578707  -0.06878898  0.0652469
 -0.00834334 -0.06699238  0.27943283 -0.16402848  0.18736026 -0.07394422
 -0.18215871  0.00672342 -0.04669689  0.13623804 -0.12987292 -0.16844568
  0.02507815 -0.01406315  0.02038962 -0.0119676  -0.04145902  0.12642036
 -0.19593371 -0.34961864 -0.08197689 -0.10771043 -0.00039884 -0.13339438
 -0.00653614  0.06971667 -0.2210533  -0.01260708  0.00370791  0.16864467
 -0.0017529  -0.11489414  0.26222867  0.06869024 -0.20830218 -0.05955756
  0.0546491   0.30456692  0.13931772 -0.01746035 -0.04515967 -0.05985832
  0.16701534 -0.22766966  0.00554693  0.12629405  0.04563314  0.05910967
  0.02399628 -0.15050283  0.03838839  0.103514   -0.23434171  0.02628582
  0.00538409 -0.05853488  0.00089563 -0.03853171  0.28881168  0.10555453
 -0.11355025 -0.08972187  0.23422697 -0.13447778  0.0172395   0.06954443
 -0.09218722 -0.25765216 -0.229184    0.07960831  0.39499369  0.16747987
 -0.12336422  0.11254341 -0.04574867 -0.07302549  0.06316598  0.16535527
  0.01655114  0.02518684 -0.0363927   0.04537006  0.24507402  0.06075536
 -0.01472333  0.19315119 -0.0559723  -0.01637345  0.04873053  0.06687701
 -0.14338595  0.00255063 -0.14900181 -0.02870659  0.03223861 -0.04170103
  0.01703084  0.14449483 -0.2408573   0.13979137  0.00647927 -0.10089958
  0.0017178   0.0207153  -0.09462701 -0.01001616  0.13965566 -0.32972333
  0.17048119  0.07510245  0.02565419  0.224797    0.06912908  0.08106694
  0.040146   -0.02587689 -0.18794219 -0.07748955  0.03429926 -0.00522446
  0.09270898  0.01386302]"
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-605272664726548,"[-0.13979146  0.03460958 -0.04491746 -0.0578707  -0.06878898  0.0652469
 -0.00834334 -0.06699238  0.27943283 -0.16402848  0.18736026 -0.07394422
 -0.18215871  0.00672342 -0.04669689  0.13623804 -0.12987292 -0.16844568
  0.02507815 -0.01406315  0.02038962 -0.0119676  -0.04145902  0.12642036
 -0.19593371 -0.34961864 -0.08197689 -0.10771043 -0.00039884 -0.13339438
 -0.00653614  0.06971667 -0.2210533  -0.01260708  0.00370791  0.16864467
 -0.0017529  -0.11489414  0.26222867  0.06869024 -0.20830218 -0.05955756
  0.0546491   0.30456692  0.13931772 -0.01746035 -0.04515967 -0.05985832
  0.16701534 -0.22766966  0.00554693  0.12629405  0.04563314  0.05910967
  0.02399628 -0.15050283  0.03838839  0.103514   -0.23434171  0.02628582
  0.00538409 -0.05853488  0.00089563 -0.03853171  0.28881168  0.10555453
 -0.11355025 -0.08972187  0.23422697 -0.13447778  0.0172395   0.06954443
 -0.09218722 -0.25765216 -0.229184    0.07960831  0.39499369  0.16747987
 -0.12336422  0.11254341 -0.04574867 -0.07302549  0.06316598  0.16535527
  0.01655114  0.02518684 -0.0363927   0.04537006  0.24507402  0.06075536
 -0.01472333  0.19315119 -0.0559723  -0.01637345  0.04873053  0.06687701
 -0.14338595  0.00255063 -0.14900181 -0.02870659  0.03223861 -0.04170103
  0.01703084  0.14449483 -0.2408573   0.13979137  0.00647927 -0.10089958
  0.0017178   0.0207153  -0.09462701 -0.01001616  0.13965566 -0.32972333
  0.17048119  0.07510245  0.02565419  0.224797    0.06912908  0.08106694
  0.040146   -0.02587689 -0.18794219 -0.07748955  0.03429926 -0.00522446
  0.09270898  0.01386302]"
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-606237444463640,"[-1.49954021e-01  3.50314341e-02 -2.71991193e-02 -6.92421272e-02
 -8.82456899e-02  6.58777803e-02 -1.32505652e-02 -6.46119416e-02
  2.74564445e-01 -1.64330930e-01  1.69563636e-01 -7.93430880e-02
 -1.88804999e-01  4.24647257e-02 -6.20124824e-02  1.46815330e-01
 -1.09237567e-01 -1.53633773e-01  8.73770565e-03 -7.94992689e-03
  3.26245874e-02  2.94188154e-04 -3.56949344e-02  1.25588253e-01
 -1.69356957e-01 -3.50150913e-01 -8.36296901e-02 -1.04078516e-01
 -1.91492662e-02 -1.32759601e-01 -9.24899802e-03  5.12937717e-02
 -2.08523259e-01 -1.81282051e-02  2.56514456e-03  1.71116889e-01
 -5.11455908e-03 -1.19643793e-01  2.69529134e-01  7.45364502e-02
 -2.15272292e-01 -4.63251844e-02  5.41777574e-02  3.05369437e-01
  1.39976248e-01 -5.91355376e-03 -3.93858403e-02 -6.67222962e-02
  1.81826323e-01 -2.35600010e-01  5.04988618e-03  1.00425370e-01
  5.28697595e-02  4.98968251e-02  4.10234183e-02 -1.50302306e-01
  4.46444638e-02  1.11148983e-01 -2.37196118e-01  4.14447486e-02
  1.32551529e-02 -8.11130479e-02  1.70149747e-03 -5.01137227e-02
  3.01710188e-01  1.09366603e-01 -1.14460699e-01 -8.63764212e-02
  2.32252881e-01 -1.20266594e-01  1.28399041e-02  6.59235865e-02
 -9.36518013e-02 -2.51972556e-01 -2.30940372e-01  8.19419548e-02
  4.20066774e-01  1.83098286e-01 -1.45643041e-01  1.02824546e-01
 -4.70545068e-02 -5.34268878e-02  7.85893574e-02  1.75484762e-01
  2.80540362e-02  2.86868829e-02 -4.51555103e-02  3.22895311e-02
  2.38231525e-01  4.07100171e-02 -2.61227749e-02  1.99309453e-01
 -4.45600972e-02  1.60503946e-03  4.16923054e-02  6.28294349e-02
 -1.61895245e-01 -4.02660109e-03 -1.61161184e-01 -4.19511087e-02
  3.36071439e-02 -2.22304016e-02  3.10832188e-02  1.36563063e-01
 -2.28544712e-01  1.33240134e-01 -9.91378166e-03 -1.01400152e-01
 -1.07802302e-02  2.41132118e-02 -9.68794972e-02 -7.04685319e-03
  1.38948604e-01 -3.23433161e-01  1.57526255e-01  7.33347535e-02
  7.36893713e-03  2.25998104e-01  8.11559260e-02  8.43362659e-02
  4.92737070e-02 -9.55208298e-03 -1.84574917e-01 -7.93662518e-02
  5.17312177e-02  1.97040886e-02  1.12726919e-01  2.40641646e-02]"
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6096104653784047,"[-1.49954021e-01  3.50314341e-02 -2.71991193e-02 -6.92421272e-02
 -8.82456899e-02  6.58777803e-02 -1.32505652e-02 -6.46119416e-02
  2.74564445e-01 -1.64330930e-01  1.69563636e-01 -7.93430880e-02
 -1.88804999e-01  4.24647257e-02 -6.20124824e-02  1.46815330e-01
 -1.09237567e-01 -1.53633773e-01  8.73770565e-03 -7.94992689e-03
  3.26245874e-02  2.94188154e-04 -3.56949344e-02  1.25588253e-01
 -1.69356957e-01 -3.50150913e-01 -8.36296901e-02 -1.04078516e-01
 -1.91492662e-02 -1.32759601e-01 -9.24899802e-03  5.12937717e-02
 -2.08523259e-01 -1.81282051e-02  2.56514456e-03  1.71116889e-01
 -5.11455908e-03 -1.19643793e-01  2.69529134e-01  7.45364502e-02
 -2.15272292e-01 -4.63251844e-02  5.41777574e-02  3.05369437e-01
  1.39976248e-01 -5.91355376e-03 -3.93858403e-02 -6.67222962e-02
  1.81826323e-01 -2.35600010e-01  5.04988618e-03  1.00425370e-01
  5.28697595e-02  4.98968251e-02  4.10234183e-02 -1.50302306e-01
  4.46444638e-02  1.11148983e-01 -2.37196118e-01  4.14447486e-02
  1.32551529e-02 -8.11130479e-02  1.70149747e-03 -5.01137227e-02
  3.01710188e-01  1.09366603e-01 -1.14460699e-01 -8.63764212e-02
  2.32252881e-01 -1.20266594e-01  1.28399041e-02  6.59235865e-02
 -9.36518013e-02 -2.51972556e-01 -2.30940372e-01  8.19419548e-02
  4.20066774e-01  1.83098286e-01 -1.45643041e-01  1.02824546e-01
 -4.70545068e-02 -5.34268878e-02  7.85893574e-02  1.75484762e-01
  2.80540362e-02  2.86868829e-02 -4.51555103e-02  3.22895311e-02
  2.38231525e-01  4.07100171e-02 -2.61227749e-02  1.99309453e-01
 -4.45600972e-02  1.60503946e-03  4.16923054e-02  6.28294349e-02
 -1.61895245e-01 -4.02660109e-03 -1.61161184e-01 -4.19511087e-02
  3.36071439e-02 -2.22304016e-02  3.10832188e-02  1.36563063e-01
 -2.28544712e-01  1.33240134e-01 -9.91378166e-03 -1.01400152e-01
 -1.07802302e-02  2.41132118e-02 -9.68794972e-02 -7.04685319e-03
  1.38948604e-01 -3.23433161e-01  1.57526255e-01  7.33347535e-02
  7.36893713e-03  2.25998104e-01  8.11559260e-02  8.43362659e-02
  4.92737070e-02 -9.55208298e-03 -1.84574917e-01 -7.93662518e-02
  5.17312177e-02  1.97040886e-02  1.12726919e-01  2.40641646e-02]"
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6107397609317402,"[-0.05127682  0.02733727  0.0059739  -0.05565032 -0.12896042  0.03600673
  0.02496484 -0.05685379  0.18338652 -0.14220858  0.14995825 -0.07997677
 -0.3033101  -0.00779132 -0.01631182  0.22618906 -0.14572634 -0.20015737
 -0.07832922 -0.06197117 -0.0218548   0.06492802 -0.01584985  0.13576755
 -0.10268519 -0.38956091 -0.06765439 -0.0412339  -0.08306516 -0.09743775
  0.00085549  0.1546499  -0.09440049 -0.02579113  0.11486314  0.0494443
 -0.09172685 -0.07828742  0.26674691  0.0927941  -0.25775412 -0.06063355
  0.19626716  0.29421565  0.22136152 -0.03086847 -0.00832816 -0.04576202
  0.14729609 -0.3526043   0.01584632  0.1380706   0.12931398  0.08980456
  0.09160466 -0.13994516 -0.01433254  0.1022704  -0.20118773  0.02044429
  0.05445908 -0.15146282 -0.07385909 -0.03057901  0.15882754  0.11663122
 -0.10592344 -0.22485672  0.19683415 -0.23562476 -0.10513807  0.12866394
 -0.0854414  -0.17116439 -0.28858173 -0.03166889  0.39344332  0.14993958
 -0.12582269  0.00484977 -0.00154825 -0.02954948  0.02903143  0.12753759
 -0.02603075 -0.07602724 -0.07021219 -0.00151933  0.1757299   0.01365974
 -0.0675591   0.19308877  0.06013098  0.02688453  0.0945473   0.103729
 -0.10547305 -0.03725707 -0.22249307 -0.0453283  -0.07547289 -0.00267188
  0.02815875  0.10567755 -0.16817191  0.20810916 -0.04737446 -0.07193638
 -0.04185135  0.04213213 -0.09355547 -0.00935529  0.10041053 -0.27398026
  0.03859983  0.11977117  0.01934503  0.12055194  0.02249891  0.04765053
 -0.00618876 -0.07855342 -0.17003384 -0.1016397   0.03072878 -0.01558047
  0.01076979 -0.01351424]"
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-612426467555072,"[-1.49954021e-01  3.50314341e-02 -2.71991193e-02 -6.92421272e-02
 -8.82456899e-02  6.58777803e-02 -1.32505652e-02 -6.46119416e-02
  2.74564445e-01 -1.64330930e-01  1.69563636e-01 -7.93430880e-02
 -1.88804999e-01  4.24647257e-02 -6.20124824e-02  1.46815330e-01
 -1.09237567e-01 -1.53633773e-01  8.73770565e-03 -7.94992689e-03
  3.26245874e-02  2.94188154e-04 -3.56949344e-02  1.25588253e-01
 -1.69356957e-01 -3.50150913e-01 -8.36296901e-02 -1.04078516e-01
 -1.91492662e-02 -1.32759601e-01 -9.24899802e-03  5.12937717e-02
 -2.08523259e-01 -1.81282051e-02  2.56514456e-03  1.71116889e-01
 -5.11455908e-03 -1.19643793e-01  2.69529134e-01  7.45364502e-02
 -2.15272292e-01 -4.63251844e-02  5.41777574e-02  3.05369437e-01
  1.39976248e-01 -5.91355376e-03 -3.93858403e-02 -6.67222962e-02
  1.81826323e-01 -2.35600010e-01  5.04988618e-03  1.00425370e-01
  5.28697595e-02  4.98968251e-02  4.10234183e-02 -1.50302306e-01
  4.46444638e-02  1.11148983e-01 -2.37196118e-01  4.14447486e-02
  1.32551529e-02 -8.11130479e-02  1.70149747e-03 -5.01137227e-02
  3.01710188e-01  1.09366603e-01 -1.14460699e-01 -8.63764212e-02
  2.32252881e-01 -1.20266594e-01  1.28399041e-02  6.59235865e-02
 -9.36518013e-02 -2.51972556e-01 -2.30940372e-01  8.19419548e-02
  4.20066774e-01  1.83098286e-01 -1.45643041e-01  1.02824546e-01
 -4.70545068e-02 -5.34268878e-02  7.85893574e-02  1.75484762e-01
  2.80540362e-02  2.86868829e-02 -4.51555103e-02  3.22895311e-02
  2.38231525e-01  4.07100171e-02 -2.61227749e-02  1.99309453e-01
 -4.45600972e-02  1.60503946e-03  4.16923054e-02  6.28294349e-02
 -1.61895245e-01 -4.02660109e-03 -1.61161184e-01 -4.19511087e-02
  3.36071439e-02 -2.22304016e-02  3.10832188e-02  1.36563063e-01
 -2.28544712e-01  1.33240134e-01 -9.91378166e-03 -1.01400152e-01
 -1.07802302e-02  2.41132118e-02 -9.68794972e-02 -7.04685319e-03
  1.38948604e-01 -3.23433161e-01  1.57526255e-01  7.33347535e-02
  7.36893713e-03  2.25998104e-01  8.11559260e-02  8.43362659e-02
  4.92737070e-02 -9.55208298e-03 -1.84574917e-01 -7.93662518e-02
  5.17312177e-02  1.97040886e-02  1.12726919e-01  2.40641646e-02]"
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-612555930635832,"[-0.05127682  0.02733727  0.0059739  -0.05565032 -0.12896042  0.03600673
  0.02496484 -0.05685379  0.18338652 -0.14220858  0.14995825 -0.07997677
 -0.3033101  -0.00779132 -0.01631182  0.22618906 -0.14572634 -0.20015737
 -0.07832922 -0.06197117 -0.0218548   0.06492802 -0.01584985  0.13576755
 -0.10268519 -0.38956091 -0.06765439 -0.0412339  -0.08306516 -0.09743775
  0.00085549  0.1546499  -0.09440049 -0.02579113  0.11486314  0.0494443
 -0.09172685 -0.07828742  0.26674691  0.0927941  -0.25775412 -0.06063355
  0.19626716  0.29421565  0.22136152 -0.03086847 -0.00832816 -0.04576202
  0.14729609 -0.3526043   0.01584632  0.1380706   0.12931398  0.08980456
  0.09160466 -0.13994516 -0.01433254  0.1022704  -0.20118773  0.02044429
  0.05445908 -0.15146282 -0.07385909 -0.03057901  0.15882754  0.11663122
 -0.10592344 -0.22485672  0.19683415 -0.23562476 -0.10513807  0.12866394
 -0.0854414  -0.17116439 -0.28858173 -0.03166889  0.39344332  0.14993958
 -0.12582269  0.00484977 -0.00154825 -0.02954948  0.02903143  0.12753759
 -0.02603075 -0.07602724 -0.07021219 -0.00151933  0.1757299   0.01365974
 -0.0675591   0.19308877  0.06013098  0.02688453  0.0945473   0.103729
 -0.10547305 -0.03725707 -0.22249307 -0.0453283  -0.07547289 -0.00267188
  0.02815875  0.10567755 -0.16817191  0.20810916 -0.04737446 -0.07193638
 -0.04185135  0.04213213 -0.09355547 -0.00935529  0.10041053 -0.27398026
  0.03859983  0.11977117  0.01934503  0.12055194  0.02249891  0.04765053
 -0.00618876 -0.07855342 -0.17003384 -0.1016397   0.03072878 -0.01558047
  0.01076979 -0.01351424]"
